p_range_end,p_side,p_buf_atr,p_atr_n,p_stop_mode,p_stop_atr,p_stop_pts,p_tgt_mode,p_tgt_r,p_tgt_pts,p_flat_m,p_be_pts,p_be_off,p_ma_mode,p_cross_min,p_m200_form,p_x_mode,p_conf,p_conf_tol,r_sharpe,r_sortino,r_pf,r_tot,r_n,r_tpy,r_retdd,ok,h_sharpe,h_sortino,h_pf,h_tot,h_n,h_retdd
570,both,0.0,50,range,0.6369457515269141,190.1509523026337,none,7.318462811650485,74.9385421597188,840,100.0,3.0,200any,15,state,off,confluence,0.25,-0.18628291781545667,-0.3453317968365623,0.9530624970277057,-6.687318344893244,1227,198.74135254988914,-0.4573889094520045,True,-0.8542988386990955,-1.3704573461635479,0.822471722385187,-11.184940223314978,542,-0.7960431766967363
555,long,0.1,7,range,4.761952066977094,244.00744271520082,points,7.154667138895511,278.0945387000454,840,25.0,3.0,off,300,cross,off,confluence,1.0,-0.1785052181304784,-0.33418589744749533,0.902140345717115,-2.3308575199816315,286,46.324390243902435,-0.464741506421544,False,0.19315601018177933,0.38717632658733886,1.1236187059979958,0.8157545660546205,122,0.24484927587211888
555,both,0.3,10,atr,2.488891562416315,42.49612856710176,points,5.725219266420597,185.14505988014787,0,75.0,5.0,cross,300,state,off,confluence,0.25,-0.33889766521093484,-0.49839627096127703,0.901505965357469,-10.45605535033748,612,99.12771618625277,-0.6729601205565223,False,-0.4464568059276457,-0.6117135515884066,0.8877847331074525,-4.994420842939638,313,-0.4983256538824868
570,both,0.3,10,range,5.754608985014834,141.77202151880135,points,6.6405874446747415,263.6883784111252,720,25.0,0.0,off,150,cross,cross,behind,1.0,-1.079158956978721,-1.490802322240932,0.5590549502025195,-10.350679626542052,254,41.141241685144124,-0.8263163229593917,False,-0.6095053898318059,-0.9436139092708412,0.7164148015246199,-2.326438663098017,123,-0.9185252756165215
570,both,0.2,14,points,1.380184037949303,106.9536435302347,none,1.5114847354767265,385.52264253922135,900,0.0,3.0,cross,15,state,state,off,1.0,-0.36087423758884524,-0.5624479712375445,0.8030288016499909,-4.4793729094298556,140,22.676274944567627,-0.9453375639568034,False,-0.013359880508004362,-0.023706337593908257,0.9935485557608574,-0.08349394032426571,84,-0.025332799390171395
570,short,0.3,7,points,2.385813809693441,287.00663356872076,points,1.32445982402909,339.54840929161674,720,150.0,3.0,cross,30,state,off,off,1.0,0.1088731933426318,0.1746002272344039,1.0848977051897213,1.5791031409437009,115,18.626940133037692,0.4470343769302329,False,-0.5241591628433108,-0.6877658942309206,0.7153902972852446,-2.7330784320121824,55,-0.7709031564644835
570,both,0.2,10,atr,2.569360777562599,294.8287233388293,r,2.182913044529708,156.00952531299217,960,75.0,25.0,state,15,state,cross,confluence,0.25,-0.035203988006013,-0.05533235370971775,0.9923045596760112,-1.5433571050321024,1360,220.28381374722838,-0.08459958673024248,True,-0.8310473447196317,-1.211725415740507,0.8400301556826274,-12.572801144590352,556,-0.8443879096298299
570,long,0.1,30,atr,2.5179551722113445,49.44941695007465,none,6.490720334387071,282.33155359148725,720,150.0,25.0,cross,15,state,cross,off,0.25,-0.06574213051025496,-0.09762715043097943,0.9442504521201384,-0.4972317601441458,71,11.500110864745011,-0.19924720957559028,False,-0.2587637198727924,-0.3103527989092528,0.8007545768922222,-1.664728157525167,43,-0.3100479212130414
570,both,0.0,10,atr,1.7459681107707359,91.65951668888418,none,3.263059696110103,306.22942905120726,0,50.0,25.0,off,75,cross,state,confluence,0.5,0.09057821306692053,0.20478628085532444,1.054594071213756,1.6188300392733699,315,51.02161862527716,0.19847747374612112,False,-0.5595376217158069,-0.8973525932468654,0.7727074290010236,-2.5136817845674866,141,-0.6287424500086416
570,short,0.1,10,range,5.774542779922459,66.82828881575578,points,6.4450345798768485,109.32897626475582,900,75.0,5.0,200any,150,cross,state,behind,0.5,-0.10966749532640548,-0.15171205441766278,0.9401779651697643,-1.03105693730935,167,27.049556541019957,-0.2335280375729343,False,0.4160552011511727,0.6198664940722385,1.2395070685790817,1.3116793309938823,76,1.0145115003674803
