sig,exit_bar,side,why,R,pct,blk,ts,day,dayk
1003,1025,1,0,-0.7496722213084136,-0.3717341132115425,0,2010-03-05 08:00:00,20100305,20100305
1050,1071,1,0,-0.7757816380605925,-0.5374669644684513,0,2010-03-09 11:00:00,20100309,20100309
1204,1224,1,0,-1.0069887185861048,-0.6359258175238708,0,2010-03-18 11:00:00,20100318,20100318
1308,1312,1,0,-1.0673022307154563,-0.5073048150307994,0,2010-03-25 04:00:00,20100325,20100325
1335,1377,1,0,0.674416149132996,0.4473440647514671,0,2010-03-26 09:00:00,20100326,20100326
1415,1481,1,0,1.4382728555854305,0.6090243072348628,0,2010-04-01 02:00:00,20100401,20100401
1532,1579,1,0,0.7493494670537302,0.42776201508013106,0,2010-04-08 10:00:00,20100408,20100408
1610,1636,1,0,-0.9330447884558576,-0.4150597513100323,0,2010-04-14 00:00:00,20100414,20100414
1694,1749,1,0,0.19445218187682278,0.10558825858564527,0,2010-04-19 20:00:00,20100419,20100419
1795,1905,1,0,3.2367661191533403,1.7277871366247837,0,2010-04-27 09:00:00,20100427,20100427
1928,1986,1,0,1.7744402319079757,1.520427013544256,0,2010-05-05 10:00:00,20100505,20100505
2076,2080,1,0,-1.0482390954218928,-0.6111310382429044,0,2010-05-14 04:00:00,20100514,20100514
2129,2134,1,0,-1.0325582883547284,-0.904155129522525,0,2010-05-18 13:00:00,20100518,20100518
2321,2361,1,0,1.0838208300656034,0.4175485698755687,0,2010-05-31 07:00:00,20100531,20100531
2434,2459,1,0,-0.22643272926270167,-0.196181326444103,0,2010-06-07 10:00:00,20100607,20100607
2519,2520,1,0,-1.0504117403838804,-0.5940380683448081,0,2010-06-11 07:00:00,20100611,20100611
2606,2651,1,0,3.643213449231961,1.5356608277033839,0,2010-06-17 06:00:00,20100617,20100617
2719,2763,1,0,1.0959990357277731,0.7549478055808239,0,2010-06-24 09:00:00,20100624,20100624
2916,2935,1,0,-0.7603853200804734,-0.5226204489860503,0,2010-07-07 11:00:00,20100707,20100707
2955,2977,1,0,0.5960331912940865,0.29599859921790805,0,2010-07-09 06:00:00,20100709,20100709
3112,3138,1,0,-0.39574550791269064,-0.23353886994067366,0,2010-07-20 09:00:00,20100720,20100720
3253,3264,1,0,-1.0677747499702381,-0.473188920018423,0,2010-07-28 20:00:00,20100728,20100728
3289,3375,1,0,2.388589860098558,1.2961421509504625,0,2010-07-30 10:00:00,20100730,20100730
